Aesthetic,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_Luminance,Mean_Saturation,Contrast,Color1_R,Color1_G,Color1_B,Color1_Hue,Color2_R,Color2_G,Color2_B,Color2_Hue,Color3_R,Color3_G,Color3_B,Color3_Hue,Color4_R,Color4_G,Color4_B,Color4_Hue,Color5_R,Color5_G,Color5_B,Color5_Hue
Pastel,245.4,211.6,211.6,7.2277243998370615,10.091580649234292,10.781465577554842,218.78588,0.16100843979276874,21.78019999999998,246,200,227,255,216,218,249,227,198,233,201,201,244,214,214,324.7826086956522,356.9230769230769,34.117647058823515,0.0,0.0
Pastel,241.8,216.2,207.6,11.267652816802618,17.497428382479523,12.191800523302536,221.02164,0.1381767620941466,29.989000000000033,251,234,214,246,197,197,255,193,193,227,227,207,230,230,227,32.43243243243242,0.0,0.0,60.0,60.0
Pastel,245.2,217.8,215.4,9.785703858180055,10.870142593360953,8.890444308357146,223.45196,0.12178162141175901,25.246599999999972,255,223,221,252,225,217,228,211,211,241,200,201,250,230,227,3.52941176470587,13.714285714285705,0.0,358.5365853658537,7.826086956521787
Pastel,237.4,218.4,208.8,21.74028518672191,9.911609354691093,10.665833300778706,221.74627999999998,0.14261289164664376,17.514400000000023,247,212,211,233,232,223,255,218,216,197,226,201,255,204,193,1.6666666666667074,54.00000000000002,3.076923076923066,128.27586206896547,10.645161290322598
Pastel,242.4,222.6,215.2,10.947145746723207,16.007498243010993,15.144636014114042,226.27519999999998,0.11469459193448887,39.31200000000001,255,243,227,251,231,232,227,230,223,232,198,196,247,211,198,34.28571428571427,357.0,85.71428571428586,3.3333333333333215,15.918367346938753
Pastel,239.2,216.2,210.6,20.409801566894277,8.423775875461075,9.54148835350125,220.68548,0.1595114896531532,14.019200000000012,254,224,200,239,211,212,255,204,201,248,215,214,200,227,226,26.666666666666664,357.8571428571428,3.333333333333355,1.764705882352935,177.7777777777778
Pastel,239.0,224.2,217.4,14.560219778561036,8.44748483277715,6.437390775772433,226.85551999999998,0.10439611638113355,13.869599999999991,248,216,215,252,231,212,231,232,230,250,212,214,214,230,216,1.81818181818181,28.499999999999982,90.0,356.84210526315786,127.49999999999997
Pastel,231.8,222.4,222.6,21.479292353334177,12.43543324536785,4.409081537009721,224.41288,0.10972438703248995,31.42979999999997,255,215,215,255,244,224,217,228,221,200,216,228,232,209,225,0.0,38.70967741935486,141.81818181818184,205.71428571428575,318.26086956521743
Pastel,230.6,228.0,223.8,22.222511109233356,3.7416573867739413,14.005713120009275,228.24952000000002,0.1318314274504284,18.62319999999997,247,228,200,255,230,230,212,229,240,197,221,232,242,232,217,35.74468085106384,0.0,203.57142857142853,198.85714285714283,36.000000000000014
Pastel,231.2,221.8,226.8,19.993999099729898,8.997777503361593,16.4730082255792,224.15944,0.12410032750812375,18.91979999999998,230,230,242,200,216,228,250,212,196,255,216,228,221,235,240,240.0,205.71428571428575,17.777777777777786,341.53846153846155,195.78947368421055
Bohemian,184.8,158.8,141.0,45.41981946243292,46.91012683845568,39.370039370059054,163.04244,0.241001387319472,132.69760000000002,194,184,163,161,124,107,212,165,154,245,228,195,112,93,86,40.6451612903226,18.888888888888886,11.379310344827601,39.60000000000001,16.153846153846136
